История (история России, всеобщая история);Это предмет базы личности? :Этот предмет расскажет мне о исторических событиях, происходивших в мире?
Иностранный язык; Это предмет базы личности?: Этот предмет связан с изучением языков?
Физическая культура и спорт; Это предмет базы личности? :Этот предмет развивает опорно-двигательный аппарат?
Деловые коммуникации;Это предмет базы личности?:Этот предмет необходим для проведения переговоров?
Высшая математика; Это теоретический предмет?: Этот предмет связан с математикой?: На этом предмете изучают матрицы?
Экономика; Это предмет базы личности?: Этот предмет учит правильно обращаться с финансами? 
Дискретная математика; Этот предмет теоретической базы? :Этот предмет связан с математикой? :Это предмет изучает алгебру логики и теорию графов?
Введение в программную инженерию; Это предмет базы личности? :Этот предмет связан с программированием desktop-устройств?:Этот предмет связан с введением в специальность?
Основы информационных технологий; Это предмет практической базы?:Этот предмет использует встроенные программы виндоус?
Теоретические основы информатики; Это Это предмет теоретической базы:Этот предмет включает в себя понятие логики? :На этом предмете мы будем изучать алгоритмы решения задач?
Аналитическая геометрия;Этот предмет связан с математикой?: Этот предмет развивает пространственное мышление?
Профессиональная эффективность: тайм-менеджмент; Это предмет базы личности?:Этот предмет помогает всем людям в повседневной жизни?:Основным предметом изучения является время?
Основы алгоритмизации и программирование; Это практический предмет?:На этом предмете придется программировать?:На этом предмете изучают типовые алгоритмы?
Программирование на Java; Предмет относится к практической базе?:Этот предмет относится к desktop-программированию?:Этот предмет изучает один язык программирования? 
Специализированные пакеты профессиональной деятельности;Этот предмет связан с практической базой?: этот предмет связан с изучением базовых программ?:Этот предмет связан с Word? 
Ознакомительная практика; Этот предмет связан с практической базой?:Этот предмет желательно изучать очно?:Этот предмет подразумевает под собой практику?
Философия; Этот предмет относится к базе личности?: Его не было в школе?: Этот предмет изучает работы мыслителей, различные взгляды на мир, различные подходы к определению смысла жизни?
Теория вероятностей и математическая статистика; Этот предмет теоретический?:Этот предмет связан с математикой?:Этот связан с вероятностями и статистикой?
Организация ЭВМ и системы; Это практический предмет?: На этом предмете не придется программировать?:Этот предмет полезен людям, которые захотят писать драйверы или дополнения к операционным системам?
Базы данных; Это предмет практической базы?:Связан с орагизации большого количества информации?
Системы управления базами данных; Это теоретический предмет?:Этот предмет связан с программированием?:Этот предмет связан с базами данных и управлением?
Разработка профессиональных приложений;Этот предмет связан с программированием?:В этом предмете используются алгоритмы?:Этот предмет связян с разработкой?
Операционные системы;Это предмет практической базы?:Этот предмет связан с программированием?:Этот предмет связан с ОС?
Математическая логика и теория автоматов; Это теоретическая база?:Предмет связан с дискретной математикой?:Предмет задействует математическую логику?
Основы теории систем;Это теоретический предмет?:Будем ли мы развивать наше системное мышление?
Интернет-программирование;Это практический предмет?:Он связан с веб-программированием?
Технологии создания человеко-машинного интерфейса;Это предмет практический?:Этот предмет требует навыки программирования?: Предмет связан с разработкой консольных приложений и веб-интерфейсов?
Сети и телекоммуникации;Это практический предмет?:На этом предмете нужно уметь программировать?: Этот предмет рассказывает как настроить сеть между разными компьютерами?
Безопасность жизнедеятельности;Этот предмет относится к базе личности?:Он был в школе?:Этот предмет изучает правила поведения во время ЧС?
Основы профессионального права;Это теоретический предмет?:Это гуманитарный предмет?:Он связан с юриспруденцией?
Вычислительная математика;Предмет относится к теоретической базе?:Этот предмет связан с математикой непосредственно?:Предмет занимается решением задач с наивысшей точностью ответа?
Право интеллектуальной собственности ;Это база личности?:Этот предмет изучает правовые нормы?:Этот предмет изучает основы права связанные непосредственно с профессиональной деятельностью?
Методы моделирования;Это теоретический предмет?:На этом предмете мы будем программировать?:он связан с графиками и таблицами?
Системный анализ;Этот предмет относится к теоретической базе?:Эта дисциплина не является одним из разделов математики?:Этот предмет связан с анализом? 
Проектирование и архитектура программных систем;Это практический предмет?:На этом предмете изучают требования к разработке программного обеспечения?:На этом предмете изучается жизненный цикл ПО и его качества?
Методы искусственного интеллекта;Это теоретический предмет?:Он не связан с векторами и статистикой?:Он связан с программированием и логикой? 
Компонентно-ориентированное программирование;Этот предмет относиться к практической базе?:Это предмет связан с программированием?: Этот предмет поможет узнать паттерны разработки и проектирования?
Компьютерная графика;Это предмет теоритической базы?:Этот предмет связан с прикладными знаниями геометрии?:Этот предмет может быть применен для создания своего сайта
Разработка и анализ требований";Это теоретический предмет?:На этом предмете будем учиться работать с клиентом?
Тестирование программного обеспечения;Это практический предмет?:Предмет связан с информатикой?:Он связан с тестированием?
Низкоуровневое программирование/Методы и алгоритмы конвертации данных;Этот предмет относится к практической базе?:Предмет позволяет учить сразу несколько языков программирования:Разработка ведется на ПК платформе?
Программирование мобильных устройств/ Разработка прикладного программного обеспечения;Это практический предмет?:Это связано непосредственно с программированием ?:Это связано с android?
Информационная безопасность;Этот предмет относится к практической базе?:Он связан с разработкой и тестированием?:Он связан с моделированием возможных взломов и угроз?
Управление проектом;Это практическая база?:Этот предмет связан со способами организации масштабной работы?
Проектный практикум;Это предмет практической базы?:Этот предмет связан с разработкой ПО на специальной платформе?:Это предмет связан с созданием своего собственного проекта?
Экономика IT-отрасли;Это предмет базы личности?:Он связан с управлением денежных ресурсов?:Этот предмет связан с IT отраслью?
Распределенные вычисления и приложения;Этот предмет относится к предметам практической базы?: Связан ли это предмет с параллельными вычислениями и вычислениями на нескольких серверах?:На нем мы узнаем технологию разработки сложных программных систем, работающих на нескольких удаленных машинах?
Системы искусственного интеллекта;Этот предмет практической базы?:Этот предмет связан с новыми технологиями?:Этот предмет связан с созданием разума?
Конструирование программного обеспечения;Это предмет относится к практической базе?:Этот предмет связан с разработкой ПО и программированием?:Этот предмет изучает методологию разработки и тестирования ПО?
Современные сервисные платформенные решения;Этот предмет относится к предметам практической базы?:Это один из двух предметов, которые выбираются большинством на потоке?:Предмет связан с рассмотрением решений?
Разработка наукоемких приложений;Этот предмет относится к предметам практической базы?:Это один из двух предметов, которые выбираются большинством на потоке?:Предмет связан с Java?:На нем будет разработка сложных программных систем?
Функциональное программирование, Экспертные интеллектуальные системы;Это практический предмет?:Связано ли этот предмет с нейросетью?:Будет ли представлен язык программирования Prolog?
